feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t__SGB2303	Group	CTR	-0.00760025558448198	0.00163753934285997	1485	1029	3.76837724286786e-06	0.000115828016307096
t__SGB4761	Group	CTR	-0.000137004293452012	3.03201333419656e-05	1485	851	6.71918485029362e-06	0.000196200197628574
t__SGB4741	Group	CTR	-0.000377872447725529	8.44436270002469e-05	1485	462	8.23038564309815e-06	0.000228883105503301
t__SGB15316	Group	CTR	0.00701276324689933	0.00157479821244991	1485	1278	9.09709680708722e-06	0.000241486569788134
t__SGB71759	Group	CTR	6.50241051084166e-05	1.47032398860983e-05	1485	477	1.04708728523492e-05	0.000265869119381387
t__SGB1858	Group	CTR	-0.0012165097727179	0.000276540400054832	1485	595	1.16496992795492e-05	0.000283476015802363
t__SGB4780	Group	CTR	0.000162992933281279	3.80662594341692e-05	1485	778	1.97271409527891e-05	0.000460826012657153
t__SGB6007	Group	CTR	-0.000190455426088946	4.52558458961421e-05	1485	260	2.72600512625003e-05	0.000612302689896162
t__SGB15300	Group	CTR	0.00500538047671277	0.00120121854333569	1485	990	3.26571171575087e-05	0.00068113415785661
t__SGB6826	Group	CTR	-0.000367780377043222	8.82172180617462e-05	1485	210	3.23594074919644e-05	0.00068113415785661
t__SGB4951	Group	CTR	0.00220877428703321	0.000547925144299246	1485	801	5.83203870079972e-05	0.00116412636791577
t__SGB15052	Group	CTR	7.41495185023444e-05	1.84571239133914e-05	1485	285	6.17943791188167e-05	0.00116412636791577
t__SGB8249	Group	CTR	-6.33121793599757e-05	1.57449308745781e-05	1485	230	6.08362968983194e-05	0.00116412636791577
t__SGB2328	Group	CTR	-0.000396012238019248	9.88531493350099e-05	1485	552	6.47986179841198e-05	0.00118257477821019
t__SGB5045	Group	CTR	0.00111540554692287	0.000279255975196423	1485	887	6.80926130263117e-05	0.00120503290931412
t__SGB25416	Group	CTR	-1.96918034179282e-05	4.9522284405847e-06	1485	500	7.33509913596667e-05	0.00125991114570722
t__SGB9226	Group	CTR	-0.00676418050937062	0.00171952818901455	1485	610	8.74977119754809e-05	0.0014599618226766
t__SGB4651	Group	CTR	0.000217506314373217	5.55312997310229e-05	1485	261	9.3800670549234e-05	0.00148216449013055
t__SGB15146	Group	CTR	-0.000131290559189028	3.35219513061825e-05	1485	459	9.3904257080189e-05	0.00148216449013055
t__SGB63327	Group	CTR	-2.4192348425814e-05	6.21950536545744e-06	1485	547	0.000104785837666231	0.00161039287360735
t__SGB29302	Group	CTR	-1.65660366103151e-05	4.31212100235095e-06	1485	363	0.000127320456103825	0.00190654221447779
t__SGB2318	Group	CTR	-0.0059147092013496	0.00156674989481252	1485	1141	0.000166223784653008	0.00236767537164284
t__SGB15368	Group	CTR	0.00297915099532428	0.000788503923909317	1485	483	0.000164196985326337	0.00236767537164284
t__SGB15342	Group	CTR	0.00396388417753767	0.00106053087092379	1485	1182	0.000192809585336779	0.00268097137706379
t__SGB14960	Group	CTR	-0.000124016506551487	3.34959556090904e-05	1485	203	0.000221365355002754	0.0030064504028281
t__SGB4630	Group	CTR	-0.000171349819282952	4.63947001002653e-05	1485	355	0.000229390886958201	0.00304464268144522
t__SGB1877	Group	CTR	-0.00254215924251401	0.000691011280252958	1485	1010	0.000242620500934132	0.00314867494545629
t__SGB4874	Group	CTR	0.0018215509401223	0.000501474879892614	1485	1254	0.000290377881992147	0.00354160555703542
t__SGB15028	Group	CTR	-0.000467789165171661	0.000128913676924963	1485	254	0.000294517965659769	0.00354160555703542
t__SGB1861	Group	CTR	-0.00369148117245765	0.00101399417341395	1485	1282	0.00028142026400153	0.00354160555703542
t__SGB6653	Group	CTR	-0.00138754842574749	0.000383183331818854	1485	345	0.000303219653855773	0.00354160555703542
t__SGB14932	Group	CTR	-0.000135881576717072	3.75198124170191e-05	1485	379	0.000302654574856401	0.00354160555703542
t__SGB15216	Group	CTR	-0.00122424673361087	0.000341482159178416	1485	957	0.000347875282932147	0.00398351304377204
t__SGB15051	Group	CTR	0.000138188169090952	3.89269322728306e-05	1485	238	0.000397356104486947	0.00446261471193033
t__SGB15390	Group	CTR	-0.000441026293408992	0.000125728915909942	1485	348	0.000465393541462191	0.00512810996630036
t__SGB4191	Group	CTR	0.000782826276513627	0.000224217848788898	1485	255	0.000494653307474884	0.00534958391787653
t__SGB4721	Group	CTR	-0.000525104491947192	0.000150695729342426	1485	653	0.00050734537200555	0.00538708540456802
t__SGB3962	Group	CTR	-5.21905183127047e-05	1.51290558498444e-05	1485	308	0.000576966797910308	0.00601693946392178
t__SGB2325	Group	CTR	-0.000346648124610904	0.000100687848233397	1485	613	0.000591741589142791	0.00606275593086649
t__SGB14127	Group	CTR	-2.65908983246099e-05	7.80051921983318e-06	1485	594	0.000669828138089419	0.00674447642490036
t__SGB5090	Group	CTR	0.000562114491553505	0.000165489249818894	1485	1079	0.000700117682629718	0.00681142975375765
t__SGB14963	Group	CTR	-0.000238089691806423	7.01864725471884e-05	1485	612	0.000711467833868522	0.00681142975375765
t__SGB14142	Group	CTR	-2.75799605463651e-05	8.11896173866995e-06	1485	312	0.000699360616310531	0.00681142975375765
t__SGB4758	Group	CTR	-0.00173484174088813	0.000514827976876643	1485	1044	0.000771674520944859	0.00726867613277093
t__SGB15204	Group	CTR	-0.000456711689861727	0.00013978819086524	1485	154	0.00111112637363508	0.00998304311081364
t__SGB15045	Group	CTR	-3.67260646825913e-05	1.12190373215354e-05	1485	160	0.0010865238250838	0.00998304311081364
t__SGB66170	Group	CTR	-3.82495628834031e-05	1.17018846106106e-05	1485	223	0.00110530496978829	0.00998304311081364
t__SGB14972	Group	CTR	5.46330337624907e-05	1.68665528675024e-05	1485	244	0.00122547925753623	0.0107638966180723
t__SGB7295	Group	CTR	-0.000657606464787264	0.000203157182321713	1485	337	0.00123489909830624	0.0107638966180723
t__SGB4303	Group	CTR	0.00190766871463416	0.000594711016881501	1485	469	0.00136647098011746	0.01140027217698
t__SGB15049	Group	CTR	0.000130487277344168	4.06344012403919e-05	1485	696	0.0013499217841124	0.01140027217698
t__SGB748	Group	CTR	-0.00121010713753824	0.000376892896215743	1485	290	0.00135228410630836	0.01140027217698
t__SGB14143	Group	CTR	-2.13946836959709e-05	6.71172198166325e-06	1485	305	0.00146421884461833	0.0120437155670015
t__SGB3574	Group	CTR	-0.000103466603130439	3.32094272598488e-05	1485	671	0.00187103144681632	0.0151761439575102
t__SGB5089	Group	CTR	0.00271585887445812	0.000876340760468386	1485	827	0.00197764838944096	0.0152641365685163
t__SGB15286	Group	CTR	0.00396914063717451	0.00127910262094591	1485	1045	0.00195143729071834	0.0152641365685163
t__SGB1626	Group	CTR	0.021451705116621	0.0069215114198161	1485	734	0.00197638555693462	0.0152641365685163
t__SGB14838	Group	CTR	-1.11609986382682e-05	3.60291543117834e-06	1485	300	0.00198642873151924	0.0152641365685163
t__SGB1934	Group	CTR	-0.00319523963110171	0.0010401226501584	1485	1326	0.00216510974722274	0.0164210921088062
t__SGB6014	Group	CTR	-0.0001006325106747	3.30104680729217e-05	1485	161	0.00234053057285043	0.0175239724941622
t__SGB4716	Group	CTR	0.00067462677960625	0.000224162191960812	1485	1082	0.00266051639220755	0.0196598266196324
t__SGB1644	Group	CTR	0.00791826659400331	0.00263764697587982	1485	345	0.00272679102087367	0.0196598266196324
t__SGB15078	Group	CTR	-0.000775417561208964	0.00025827238676904	1485	1220	0.00272407177494085	0.0196598266196324
t__SGB4540_group	Group	CTR	0.0033190638176492	0.00111120269438621	1485	1182	0.00286436479322098	0.020399866332208
t__SGB15090	Group	CTR	-0.00124191972551374	0.000416518676864573	1485	199	0.00291358929633384	0.0205004355308309
t__SGB1844	Group	CTR	-0.00211010823847832	0.000711996308939536	1485	716	0.00308861677188921	0.0213429315906531
t__SGB4699	Group	CTR	-0.00154750242642358	0.000522510228797986	1485	706	0.0031084408707082	0.0213429315906531
t__SGB2326	Group	CTR	-0.000167462495731924	5.66087155701948e-05	1485	438	0.00314296595341809	0.0213429315906531
t__SGB4837	Group	CTR	0.00510651369354009	0.00173580570857261	1485	1366	0.00331301644537839	0.0221685625496526
t__SGB14962	Group	CTR	-6.47446002594802e-06	2.20272335005084e-06	1485	226	0.00334046832939971	0.0221685625496526
t__SGB5062	Group	CTR	0.000440161484331207	0.000150204095850058	1485	153	0.00343681403266649	0.0221880058687601
t__SGB4659	Group	CTR	0.000361842774807298	0.000123701068299212	1485	289	0.0034953707875444	0.0221880058687601
t__SGB14888	Group	CTR	-2.38243322966023e-05	8.1266701230045e-06	1485	462	0.0034236380980126	0.0221880058687601
t__SGB6179	Group	CTR	0.000175271583006622	5.98661036601167e-05	1485	289	0.00346657891284476	0.0221880058687601
t__SGB14263	Group	CTR	-0.000159235768718097	5.52655390304263e-05	1485	173	0.00401755504175167	0.0252285176815374
t__SGB14909	Group	CTR	-0.000527801482322762	0.000183433488686866	1485	320	0.00406777634125603	0.025272142375463
t__SGB14306	Group	CTR	-0.00312468996907205	0.00109220014138521	1485	458	0.00428344950705371	0.0263319422328354
t__SGB15273	Group	CTR	-9.79961772387925e-05	3.464704557047e-05	1485	205	0.00474084931405491	0.0288401666605007
t__SGB14924	Group	CTR	-0.000197692733946417	7.03159506394272e-05	1485	270	0.00499612721779824	0.0298959419156615
t__SGB15127	Group	CTR	-0.000123748752075988	4.40362388908188e-05	1485	365	0.00501678477351854	0.0298959419156615
t__SGB15234	Group	CTR	-0.00115455498894909	0.00041159217819934	1485	493	0.00509583509831332	0.0300602797718685
t__SGB4767	Group	CTR	0.000163254449030163	5.83901057209531e-05	1485	968	0.00524186383658023	0.0306124848056285
t__SGB4768	Group	CTR	0.000123444904766656	4.43207435518039e-05	1485	710	0.00541647636305517	0.0313190316438041
t__SGB14993	Group	CTR	0.000584644753611017	0.000210320066132978	1485	1278	0.00550817744901654	0.0315370159826045
t__SGB15124	Group	CTR	-7.99043547704044e-05	2.88895853293587e-05	1485	875	0.00574782316442437	0.0325895993012023
t__SGB29321	Group	CTR	-1.01186257363162e-05	3.68104706830189e-06	1485	149	0.00605311774128737	0.0336668643896364
t__SGB15402	Group	CTR	-4.61465777814412e-05	1.67848288023705e-05	1485	255	0.00604470128543211	0.0336668643896364
t__SGB4826	Group	CTR	0.00123636676462787	0.000451347400174405	1485	1024	0.00623114904337598	0.0343301041635054
t__SGB3989	Group	CTR	-0.000273836209381258	0.000100145029641162	1485	193	0.00632385050778888	0.034365462970148
t__SGB1699	Group	CTR	-0.00274746336393666	0.00100538165062458	1485	169	0.00635525685064381	0.034365462970148
t__SGB15467	Group	CTR	-0.000302501060758451	0.000112600018722982	1485	252	0.00730091353352644	0.0391168211337563
t__SGB14311	Group	CTR	-0.00142059879016055	0.000530804062772872	1485	369	0.0075256669399179	0.0399544499355641
t__SGB14844	Group	CTR	-0.000116793159163418	4.40011716432956e-05	1485	327	0.00803184599627017	0.0422576401965926
t__SGB4988	Group	CTR	-0.000614561469195209	0.000231921064570663	1485	475	0.00813779034938502	0.0424327639646505
t__SGB15249	Group	CTR	-0.000828917946890285	0.000315719781549832	1485	601	0.00874151397404366	0.0451773819543495
t__SGB1949	Group	CTR	-0.00188942840310801	0.000724613555608402	1485	1048	0.00921218080063148	0.0471922244523577
t__SGB4725	Group	CTR	-9.38125814300423e-05	3.61342567391657e-05	1485	397	0.00951861949512132	0.0483380329143552
t__SGB4030	Group	CTR	-6.06727740941764e-05	2.3459244181416e-05	1485	213	0.00979563843950052	0.0493159728333475
t__SGB1857	Group	CTR	-0.000808804553381701	0.000319066094909176	1485	397	0.0113496146397979	0.0557797106220205
t__SGB3964	Group	CTR	-5.20647281357343e-05	2.05431972559223e-05	1485	429	0.0113660711712679	0.0557797106220205
t__SGB15201	Group	CTR	-0.00092283366454975	0.000364102090568091	1485	264	0.0113614188785566	0.0557797106220205
t__SGB9663_group	Group	CTR	0.000682202317674078	0.000271032525830396	1485	716	0.0119389433226029	0.0576226685983481
t__SGB14906	Group	CTR	-0.000241456882021868	9.58218439719699e-05	1485	283	0.0118447209308833	0.0576226685983481
t__SGB1871	Group	CTR	-0.00317356195766541	0.00126674389187907	1485	1267	0.0123415642109138	0.0590776516325709
t__SGB4957	Group	CTR	0.000571492665971999	0.000228488122976164	1485	359	0.0124847156267878	0.059277023788976
t__SGB15256	Group	CTR	-0.000538632315301349	0.000216320538536165	1485	227	0.0128840840510032	0.0606798797240798
t__SGB4762	Group	CTR	-0.000235495551508233	9.49276802692726e-05	1485	763	0.0132193932479381	0.0617610052543666
t__SGB15115	Group	CTR	4.84159145820178e-05	1.95845601914156e-05	1485	212	0.0135419402448502	0.0627658182777186
t__SGB15132	Group	CTR	-0.00106576836965823	0.000435753960552946	1485	1261	0.0145685499874514	0.0664690093177468
t__SGB4763	Group	CTR	-2.38128363363652e-05	9.7308257228989e-06	1485	161	0.0145142498064862	0.0664690093177468
t__SGB5076	Group	CTR	0.000874565932291139	0.000358157914353047	1485	196	0.0147286068590393	0.0666783442300695
t__SGB6174	Group	CTR	9.53948828925763e-05	3.91246612360993e-05	1485	162	0.0148761468747005	0.0668282290371159
t__SGB15403	Group	CTR	-5.69622804400012e-05	2.37714614659246e-05	1485	149	0.0166871884102591	0.0743917406991705
t__SGB5087	Group	CTR	0.000826945275402032	0.000348608486363421	1485	510	0.0178127865087731	0.0782155437678458
t__SGB3813	Group	CTR	-2.33927659712027e-05	9.85178421773288e-06	1485	382	0.0177008048375847	0.0782155437678458
t__SGB8002	Group	CTR	0.00105569908338319	0.000448668255793485	1485	528	0.0187545744684823	0.0794337337817607
t__SGB4914	Group	CTR	0.00148049014196855	0.000629286581692508	1485	1201	0.018770300105964	0.0794337337817607
t__SGB15291	Group	CTR	0.000703455281124466	0.000298299614391676	1485	774	0.018492128840533	0.0794337337817607
t__SGB6939	Group	CTR	-0.00120150292683175	0.000508935643962299	1485	764	0.0183635990388093	0.0794337337817607
t__SGB15126	Group	CTR	-0.000175626130903135	7.45351940576378e-05	1485	615	0.0185882549665571	0.0794337337817607
t__SGB6276	Group	CTR	0.000631274263171191	0.000269681751554544	1485	303	0.0193737672004647	0.0808162860362243
t__SGB6340	Group	CTR	0.000703363848761038	0.00030031427473149	1485	194	0.0193076647924807	0.0808162860362243
t__SGB4425_group	Group	CTR	0.000532042127172308	0.000228262796749609	1485	314	0.0198957185532747	0.0824049619511519
t__SGB15053	Group	CTR	-0.000431404227499497	0.000186244668528977	1485	866	0.0206759706281743	0.0838210635697233
t__SGB4742	Group	CTR	-0.000427254783436655	0.000184650521325515	1485	621	0.0208117366739895	0.0838210635697233
t__SGB15278	Group	CTR	-0.000113729011970478	4.90818994359323e-05	1485	220	0.0206324169242942	0.0838210635697233
t__SGB15159	Group	CTR	-0.000427818742930622	0.000184580592411518	1485	494	0.0205963459547297	0.0838210635697233
t__SGB15131	Group	CTR	-8.44019415399929e-05	3.66066113058724e-05	1485	290	0.0212677567248168	0.085071026899267
t__SGB4652	Group	CTR	0.000328795333106516	0.000143001992232491	1485	446	0.021629962632312	0.0859312801174843
t__SGB4769	Group	CTR	4.95911999779716e-05	2.1653298899609e-05	1485	465	0.0221473744401433	0.0873923423854303
t__SGB14912	Group	CTR	-0.000345667297233338	0.000152679946923963	1485	378	0.0237180760201413	0.0923006412365749
t__SGB8026	Group	CTR	-4.29815345774467e-05	1.90008799570932e-05	1485	163	0.0238366009719829	0.0923006412365749
t__SGB4710	Group	CTR	3.50935140754379e-05	1.55170056258326e-05	1485	300	0.0238654055252103	0.0923006412365749
t__SGB14898	Group	CTR	-5.46761699044569e-05	2.42146668782517e-05	1485	279	0.0240919258220027	0.0925637150003262
t__SGB4677	Group	CTR	-4.75570249412649e-05	2.11561952063948e-05	1485	189	0.0247289441291458	0.0943902181138636
t__SGB4644	Group	CTR	0.000433091174435329	0.000193491315211035	1485	586	0.0253495485873282	0.0961307556818162
t__SGB5082	Group	CTR	0.00249801694614323	0.00111883378463271	1485	1055	0.0257176934585024	0.0968976321275188
t__SGB1855	Group	CTR	-0.00563305110546323	0.00253810314379098	1485	835	0.0266107392232423	0.0996196904254712
t__SGB15323	Group	CTR	0.00126529201408081	0.000571968049784101	1485	347	0.027106665276126	0.10082988867043
t__SGB6847	Group	CTR	0.000132336994995173	6.10403407549226e-05	1485	281	0.0303153769632707	0.111542461834145
t__SGB15089	Group	CTR	-0.000621595685052526	0.000286802807496024	1485	1010	0.030368581218543	0.111542461834145
t__SGB14808	Group	CTR	3.76388016286265e-05	1.7405135469575e-05	1485	184	0.0307382186257398	0.11219449798395
t__SGB15087	Group	CTR	-0.000456877798071252	0.000211683481564539	1485	264	0.0310640789727172	0.11267964049731
t__SGB14252	Group	CTR	2.40338666070773e-05	1.11717081545264e-05	1485	350	0.0316124162011415	0.113960809021399
t__SGB4422	Group	CTR	0.000384593282209312	0.000179832599312264	1485	343	0.0326295644768854	0.115488882754552
t__SGB15081	Group	CTR	-0.000277803351271179	0.000129843281386146	1485	434	0.0325557553578177	0.115488882754552
t__SGB2301	Group	CTR	-0.000660204458733883	0.000308290883068906	1485	731	0.0323964047825323	0.115488882754552
t__SGB72916	Group	CTR	-2.23554010566234e-05	1.04762834895571e-05	1485	224	0.0330141597326892	0.115554023614417
t__SGB4775	Group	CTR	-2.65851412230781e-05	1.2460787842442e-05	1485	165	0.03304711822861	0.115554023614417
t__SGB4031	Group	CTR	-3.20259137451221e-05	1.50275883156934e-05	1485	232	0.0332415684370241	0.115554023614417
t__SGB5111	Group	CTR	0.00132617938822347	0.000623188940260281	1485	460	0.0334971644104203	0.115753514885713
t__SGB63101	Group	CTR	3.11132714468878e-05	1.46390960895335e-05	1485	344	0.0337219356112361	0.115844767040952
t__SGB5200	Group	CTR	-1.09238452297131e-05	5.17478391859431e-06	1485	387	0.0349413527888518	0.119331871512804
t__SGB4772	Group	CTR	9.72509527778389e-06	4.6375564029118e-06	1485	372	0.0361598944914749	0.12277545571524
t__SGB25497	Group	CTR	0.000123419337598583	5.89466385045876e-05	1485	182	0.0364519866210745	0.123051792986749
t__SGB4327	Group	CTR	0.00119837245098116	0.000577250142187374	1485	349	0.0380657078200063	0.127126339027604
t__SGB5060	Group	CTR	0.000163163213058237	7.86066318536868e-05	1485	217	0.0380943652908059	0.127126339027604
t__SGB15244	Group	CTR	-0.000319515324009389	0.000154245356284105	1485	353	0.0384870455273686	0.12770701470445
t__SGB1680	Group	CTR	-0.00359450702828953	0.00173977507274209	1485	187	0.0389946492091635	0.12866031151498
t__SGB4750	Group	CTR	0.000440444627092687	0.000218026055852435	1485	1033	0.0435476611940957	0.142875472681752
t__SGB1867	Group	CTR	-0.00144612803756016	0.000721517482941718	1485	1149	0.0452208808332752	0.144459676876369
t__SGB14128	Group	CTR	2.36332134425039e-05	1.17457384396142e-05	1485	155	0.0443934115647019	0.144459676876369
t__SGB6768	Group	CTR	-6.47927328215641e-05	3.23340629362321e-05	1485	158	0.0452673302540678	0.144459676876369
t__SGB15120	Group	CTR	-0.000148955823808346	7.41519180478232e-05	1485	619	0.0447400999596245	0.144459676876369
t__SGB15149	Group	CTR	-0.000117235796139711	5.84770652524733e-05	1485	198	0.0451641245296856	0.144459676876369
t__SGB5180	Group	CTR	-3.18359456264566e-05	1.59467459463824e-05	1485	368	0.0460738907187508	0.146234522716035
t__SGB14991	Group	CTR	0.00025144242262426	0.000126170574862051	1485	481	0.0464579219674659	0.146656359075676
t__SGB7256	Group	CTR	-7.92830048385621e-06	4.01281066383106e-06	1485	253	0.0483685070171308	0.150991239491562
t__SGB4987	Group	CTR	-0.000312281900602226	0.000158225457840929	1485	359	0.0486067688774206	0.150991239491562
t__SGB4709	Group	CTR	8.54250436774048e-05	4.31832064218225e-05	1485	338	0.0480909033167262	0.150991239491562
t__SGB14965	Group	CTR	-0.000217766232095595	0.000111054925987426	1485	178	0.0500790514409666	0.154741619267325
t__SGB4820	Group	CTR	0.000418871141962535	0.000216536961554175	1485	1294	0.0532528218999851	0.163678402007831
t__SGB5075	Group	CTR	0.00214747803127517	0.00111144729343141	1485	700	0.0535318061361229	0.163678402007831
t__SGB1786	Group	CTR	-9.04205163067454e-05	4.71222672834376e-05	1485	309	0.0551952069704763	0.166355188081279
t__SGB4046	Group	CTR	-6.06086096501723e-05	3.15945719699043e-05	1485	711	0.0552618261776851	0.166355188081279
t__SGB4613	Group	CTR	-7.17669822263061e-06	3.73342964409891e-06	1485	223	0.0547618805146452	0.166355188081279
t__SGB4832	Group	CTR	0.000124466391717591	6.56127846038775e-05	1485	367	0.0580241973847275	0.173544802290085
t__SGB14797	Group	CTR	0.000182312788542865	9.61910970658255e-05	1485	388	0.058244488439823	0.173544802290085
t__SGB4121	Group	CTR	-0.000117170227284986	6.20032898593854e-05	1485	703	0.0589873438911941	0.174866034682525
t__SGB4563	Group	CTR	-0.00150462200835936	0.000801745154978379	1485	963	0.0607576853454504	0.179204486069409
t__SGB17152	Group	CTR	-2.68626928412677e-05	1.44541707242334e-05	1485	196	0.0632998150074569	0.185764281227914
t__SGB15143	Group	CTR	-5.8042942006931e-05	3.12992896849269e-05	1485	770	0.0638733166480006	0.186448437136188
t__SGB4044	Group	CTR	-2.89005028028991e-05	1.56019158747642e-05	1485	352	0.0641714655211882	0.186448437136188
t__SGB8057	Group	CTR	6.39661729371705e-05	3.46535372625056e-05	1485	267	0.0651092398646811	0.188236614262246
t__SGB14969	Group	CTR	4.59838344877671e-05	2.49435460863471e-05	1485	357	0.0654530742084717	0.188298499200727
t__SGB4886	Group	CTR	-0.000254729102143403	0.000140377808486175	1485	175	0.0697878809296417	0.198810353477613
t__SGB63163	Group	CTR	-9.58167517450063e-06	5.2802097000594e-06	1485	151	0.0697813447605529	0.198810353477613
t__SGB14313	Group	CTR	-0.000926676828510861	0.000514932038813487	1485	238	0.0721254417795464	0.203484338160653
t__SGB15332	Group	CTR	0.00181814994796086	0.00100915526182239	1485	898	0.0718026825992531	0.203484338160653
t__SGB17241	Group	CTR	0.000785208214859704	0.000437956238052631	1485	190	0.0731939287731183	0.205389442239411
t__SGB4687	Group	CTR	-1.30428735674707e-05	7.28262863668594e-06	1485	169	0.0735040983356795	0.205389442239411
t__SGB5792	Group	CTR	-0.00168027088159223	0.000940588186200265	1485	770	0.0742380294813864	0.206452424843474
t__SGB14177	Group	CTR	-2.77142957175407e-05	1.56601939421221e-05	1485	250	0.0769777926224456	0.213057018443167
t__SGB29347	Group	CTR	7.33729369802403e-06	4.17737739092064e-06	1485	316	0.0792204649003057	0.21822995991405
t__SGB1836	Group	CTR	-0.00424736924740913	0.00242325192342768	1485	1406	0.0798505306428012	0.218932910307023
t__SGB14397	Group	CTR	-7.44390251163031e-05	4.25263356449957e-05	1485	159	0.0802523350367696	0.219006372249876
t__SGB4871	Group	CTR	0.00026063508267563	0.000149278894872436	1485	711	0.0810248500905542	0.220086104432017
t__SGB4063	Group	CTR	-2.07520631894729e-05	1.2026390026614e-05	1485	257	0.0846378239502492	0.222686918123162
t__SGB14995	Group	CTR	-8.40560330810918e-05	4.85056470588031e-05	1485	749	0.0833191338490861	0.222686918123162
t__SGB2071	Group	CTR	-0.00147000064086059	0.000851373503614872	1485	219	0.0844437342682731	0.222686918123162
t__SGB1891	Group	CTR	0.00269332520888395	0.00155874520058708	1485	446	0.0842178543939773	0.222686918123162
t__SGB15203	Group	CTR	-0.000228221689499019	0.000132143979201648	1485	175	0.0843636062331967	0.222686918123162
t__SGB5193	Group	CTR	-0.000244860268162107	0.000141909503983746	1485	156	0.0846515339440787	0.222686918123162
t__SGB17130_group	Group	CTR	-1.80853125111708e-05	1.04146466655019e-05	1485	206	0.0826783982310873	0.222686918123162
t__SGB4711	Group	CTR	0.000155501708410129	9.08050100036391e-05	1485	785	0.0870174005839509	0.227884134264696
t__SGB6478	Group	CTR	-0.00122704839081363	0.000723218300783248	1485	250	0.0899726862750662	0.232548610314073
t__SGB1862	Group	CTR	-0.000680075229593281	0.000403421318818562	1485	482	0.0920506254057486	0.232548610314073
t__SGB15267	Group	CTR	0.000385998427240731	0.000230196210963132	1485	256	0.0937877426465182	0.232548610314073
t__SGB15236	Group	CTR	-0.000410007564399118	0.000243632056982389	1485	444	0.0926055958356631	0.232548610314073
t__SGB15180	Group	CTR	0.000250438885157095	0.000149619550693914	1485	172	0.0943733230212933	0.232548610314073
t__SGB4893	Group	CTR	-0.000148484155482781	8.81941110701357e-05	1485	361	0.0924682502774456	0.232548610314073
t__SGB47656	Group	CTR	1.75210730186013e-05	1.03820773175497e-05	1485	184	0.0916931477507373	0.232548610314073
t__SGB3969	Group	CTR	-1.11234121823334e-05	6.62455758029628e-06	1485	204	0.0933397521969217	0.232548610314073
t__SGB14891	Group	CTR	-3.84806322554317e-05	2.28949661750412e-05	1485	274	0.0930227647005083	0.232548610314073
t__SGB5843	Group	CTR	-0.000124742623507065	7.43028803214703e-05	1485	468	0.0933939592996385	0.232548610314073
t__SGB14262	Group	CTR	-7.71220610720077e-06	4.59723808428602e-06	1485	155	0.0936410528614151	0.232548610314073
t__SGB4905	Group	CTR	-0.000106837463619054	6.33078077806853e-05	1485	149	0.091700723313284	0.232548610314073
t__SGB17154	Group	CTR	-1.01593850111956e-05	6.06338113538213e-06	1485	166	0.0940408361403868	0.232548610314073
t__SGB6771	Group	CTR	-0.000110834489446667	6.51955707979513e-05	1485	259	0.0893347854502294	0.232548610314073
t__SGB4626	Group	CTR	-0.000102167482125381	6.122896302463e-05	1485	215	0.0954050622468977	0.234103177950371
